grid_size,impl,num_threads,iteration,result
4096,seq,8,22,10.466170
4096,seq,8,23,10.436201
4096,seq,8,24,10.446462
4096,seq,8,25,10.437923
4096,seq,8,26,10.439621
4096,seq,8,27,10.487282
4096,seq,8,28,10.889673
4096,seq,8,29,10.615271
4096,seq,8,30,10.798332
4096,seq,32,1,10.928664
4096,seq,32,2,10.781153
4096,seq,32,3,10.598369
4096,seq,32,4,10.416819
4096,seq,32,5,10.497293
4096,seq,32,6,10.695708
4096,seq,32,7,10.519291
4096,seq,32,8,10.597840
4096,seq,32,9,10.562462
4096,seq,32,10,10.521275
4096,seq,32,11,10.955135
4096,seq,32,12,11.833974
4096,seq,32,13,11.466603
4096,seq,32,14,10.929814
4096,seq,32,15,11.319503
4096,seq,32,16,11.215051
4096,seq,32,17,11.082387
4096,seq,32,18,10.897837
4096,seq,32,19,10.782990
4096,seq,32,20,10.708522
4096,seq,32,21,10.755225
4096,seq,32,22,10.723996
4096,seq,32,23,10.755150
4096,seq,32,24,10.709301
4096,seq,32,25,10.689588
4096,seq,32,26,10.719895
4096,seq,32,27,10.738083
4096,seq,32,28,10.717280
4096,seq,32,29,10.734636
4096,seq,32,30,10.738053
4096,pth,2,1,5.633554
4096,pth,2,2,5.607344
4096,pth,2,3,5.614294
4096,pth,2,4,5.585313
4096,pth,2,5,5.600709
4096,pth,2,6,5.602203
4096,pth,2,7,5.595934
4096,pth,2,8,5.605967
4096,pth,2,9,5.595751
4096,pth,2,10,5.608648
4096,pth,2,11,5.651196
4096,pth,2,12,5.606346
4096,pth,2,13,5.609476
4096,pth,2,14,5.604260
4096,pth,2,15,5.595131
4096,pth,2,16,5.614568
4096,pth,2,17,5.631109
4096,pth,2,18,5.606881
4096,pth,2,19,5.596446
4096,pth,2,20,5.612397
4096,pth,2,21,5.595292
4096,pth,2,22,5.601527
4096,pth,2,23,5.597472
4096,pth,2,24,5.593969
4096,pth,2,25,5.605511
4096,pth,2,26,5.599287
4096,pth,2,27,5.591603
4096,pth,2,28,5.597876
4096,pth,2,29,5.631893
4096,pth,2,30,5.609758
4096,pth,8,1,2.743248
4096,pth,8,2,2.734350
4096,pth,8,3,2.735392
4096,pth,8,4,2.752047
4096,pth,8,5,2.749166
4096,pth,8,6,2.751085
4096,pth,8,7,2.736026
4096,pth,8,8,2.752898
4096,pth,8,9,2.746257
4096,pth,8,10,2.740635
4096,pth,8,11,2.753215
4096,pth,8,12,2.749304
4096,pth,8,13,2.751289
4096,pth,8,14,2.736951
4096,pth,8,15,2.751240
4096,pth,8,16,2.749873
4096,pth,8,17,2.745510
4096,pth,8,18,2.727767
4096,pth,8,19,2.751992
4096,pth,8,20,2.738774
4096,pth,8,21,2.725929
4096,pth,8,22,2.750962
4096,pth,8,23,2.732269
4096,pth,8,24,2.752798
4096,pth,8,25,2.743907
4096,pth,8,26,2.751962
4096,pth,8,27,2.750194
4096,pth,8,28,2.743992
4096,pth,8,29,2.725508
4096,pth,8,30,2.759775
4096,pth,32,1,1.978078
4096,pth,32,2,1.995633
4096,pth,32,3,1.995730
4096,pth,32,4,1.986745
4096,pth,32,5,1.980251
4096,pth,32,6,1.982390
4096,pth,32,7,2.002325
4096,pth,32,8,1.993719
4096,pth,32,9,1.997191
4096,pth,32,10,1.989334
4096,pth,32,11,1.988983
4096,pth,32,12,1.996779
4096,pth,32,13,1.988380
4096,pth,32,14,1.993415
4096,pth,32,15,1.993335
4096,pth,32,16,1.982184
4096,pth,32,17,1.989689
4096,pth,32,18,1.997035
4096,pth,32,19,1.998845
4096,pth,32,20,1.990393
4096,pth,32,21,1.998587
4096,pth,32,22,1.995007
4096,pth,32,23,1.989660
4096,pth,32,24,1.993164
4096,pth,32,25,1.987580
4096,pth,32,26,2.010002
4096,pth,32,27,1.982431
4096,pth,32,28,1.990151
